Date collected	Species	Sex	Weight g	Correctly calibrated	Plot
 1978-01-08	DM	F	37	Y	4
 1978-01-08	DM	M	null	Y	4
 1978-01-08	DM	F	48	Y	4
 1978-01-08	DO	M	52	Y	4
 1978-01-08	OL	M	35	Y	4
 2013-07-16	DM	F	null	Y	2
 2013-07-16	DM	M	33	Y	7
 2013-07-16	DM	M	null	Y	3
 2013-07-16	DM	M	null	Y	1
 2013-07-18	DM	M	40	Y	3
 2013-07-18	DM	M	48	Y	7
 2013-07-18	DM	F	29	Y	4
 2013-07-18	DM	F	37	Y	6
 2013-08-19	DO	F	52	Y	8
 2013-10-17	DO	F	33	Y	3
 2013-10-17	DO	F	50	Y	3
 2013-11-12	DS	F	117	Y	9
 2013-11-13	DS	F	126	Y	11
 2013-11-13	DS	M	132	N	17
 2013-11-13	DS	F	113	N	14
 2013-11-13	DS	F	122	Y	11
 2013-11-13	DS	F	107	Y	4
 2013-11-13	DS	F	115	Y	4
 2013-12-10	DO	F	40	Y	9
 2013-12-10	DO	M	45	Y	1
 2013-12-11	DO	F	41	Y	8
 2014-01-08	NA	null	null	Y	2
 2014-01-08	DM	M	44	Y	2
 2014-01-08	PF	F	7	Y	2
 2014-01-08	DM	M	45	Y	2
 2014-01-08	OT	null	null	Y	2
 2014-01-08	DS	M	157	N	2
 2014-01-08	OX	null	null	Y	2
 2014-01-09	DM	M	40	Y	1
 2014-01-09	DM	F	36	Y	1
 2014-02-18	NA	M	218	N	2
 2014-02-18	PF	F	7	Y	2
 2014-02-18	DM	M	52	Y	2
 2014-03-13	DM	F	51	Y	1
 2014-03-13	DM	F	44	Y	1
 2014-03-13	DS	F	146	Y	1
 0000-03-11	PF	M	8	Y	3
 0000-04-08	NA	F	null	Y	3
 0000-05-06	null	null	null	Y	3
 0000-05-18	NA	F	182	Y	3
 0000-06-09	OT	F	29	Y	3
 0000-07-08	NA	F	115	Y	3
 0000-07-08	NA	M	190	Y	3
